"user_id","donated","condition","clickthrough","recruited","raised","donatedsince","n","propdevice","numdevice","device","firstvisit","houroffirst"
89362,820.66,0,0,0,0,1,2,1,1,"Desktop",21,"15"
89409,125,1,0,0,0,1,1,1,1,"Desktop",20,"11"
92605,195.88,0,0,0,0,0,2,1,1,"Desktop",5,"11"
92881,310,1,0,0,0,1,6,0.5,2,"Desktop",8,"20"
93018,43.26,1,0,0,0,1,2,1,1,"Desktop",23,"10"
93152,24.4,1,0,0,0,1,2,1,1,"Desktop",12,"15"
93719,189.8,0,0,0,0,0,3,1,1,"Desktop",23,"23"
94216,50,0,0,0,0,1,2,0.5,2,"Mobile",2,"21"
94426,200,0,0,0,0,0,1,1,1,"Desktop",24,"23"
94856,25,0,1,1,100,0,1,1,1,"Desktop",7,"13"
95842,400,0,0,0,0,1,4,0.857142857142857,2,"Desktop",4,"14"
97541,129.12,0,0,0,0,0,1,1,1,"Desktop",17,"21"
97727,135,0,1,0,0,1,4,1,1,"Desktop",1,"14"
97808,109.15,0,0,0,0,1,3,1,1,"Desktop",21,"19"
98889,303.96,0,0,0,0,1,1,0,1,"Mobile",25,"16"
99030,50,0,0,0,0,0,1,0,1,"Mobile",2,"15"
99376,50,0,0,0,0,0,1,1,1,"Desktop",15,"8"
99523,298.45,0,0,0,0,1,4,1,1,"Desktop",5,"22"
99761,100,0,1,0,0,0,1,1,1,"Desktop",14,"16"
100013,156.69,0,0,0,0,0,2,1,1,"Desktop",24,"23"
100886,25,1,0,0,0,0,1,0,1,"Mobile",12,"18"
101451,70,0,0,0,0,0,3,0.333333333333333,3,"Desktop",5,"12"
101455,161.76,0,0,0,0,1,6,1,1,"Desktop",21,"9"
101966,9,1,1,0,0,1,3,0,1,"Mobile",5,"9"
102755,292.8,1,0,0,0,1,6,0.875,2,"",5,"2"
102910,375,0,0,0,0,1,1,1,1,"Desktop",7,"11"
103189,500,1,0,0,0,1,1,1,1,"Desktop",22,"15"
103443,196.64,0,0,0,0,1,4,1,1,"Desktop",28,"5"
